,Zone0,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9
2021-01-01 0:00,43.170488,1.433659,6.448861,0,0,72.230136,9.37,0,0,0
2021-01-01 1:00,16.829512,27.956341,27.637975,0,28.59,20.375565,0,16.03,0,0
2021-01-01 2:00,10.5,27.361163,11.653165,0,14.121905,10.110732,0,0,20.19,0
2021-01-01 3:00,76.601475,39.548558,0,0,12.838095,0,0,15.521111,20.92,0
2021-01-01 4:00,58.208525,41.385645,0,0,0,0,10.06,36.716616,16.18,0
2021-01-01 5:00,9.696579,18.294634,0,0,0,11.627778,0,22.214018,0,0
2021-01-01 6:00,30.284063,10.806486,4.09,7.746064,4.33,13.869716,26.584945,22.634596,8.060294,0
2021-01-01 7:00,61.245934,60.565175,6.25,42.349305,13.463415,56.62919,22.665055,31.719812,56.853992,0
2021-01-01 8:00,176.096702,137.399566,44.352599,74.393403,112.925307,60.359414,21.94754,49.465955,43.996169,0
2021-01-01 9:00,226.738893,187.578825,96.019567,34.021228,80.392884,53.584584,84.001008,119.645079,35.767965,38.668571
2021-01-01 10:00,262.279876,354.361744,114.896379,47.63851,148.825632,166.370408,87.4216,149.043993,64.209848,28.935546
2021-01-01 11:00,398.949092,337.523664,117.730707,100.229849,256.205171,146.502322,125.129079,121.862921,80.926899,33.042263
2021-01-01 12:00,307.214606,292.124232,127.238256,128.153247,195.375396,187.231221,196.828589,168.460869,92.266396,95.54013
2021-01-01 13:00,378.99171,277.426215,157.351771,176.095141,188.338626,199.939591,145.047646,172.515097,76.480623,76.392822
2021-01-01 14:00,406.453399,309.289128,168.762732,105.962125,211.354395,205.836736,110.286267,196.857529,89.512372,52.155306
2021-01-01 15:00,363.47487,385.759817,202.388352,117.868054,161.061444,325.902526,125.748752,265.504904,98.829227,35.018694
2021-01-01 16:00,426.139815,351.097346,235.744602,120.672216,140.186484,301.607414,88.067508,264.379553,72.685586,63.274215
2021-01-01 17:00,482.491106,253.687523,88.117797,175.156603,199.72312,201.336977,49.037723,213.745836,75.629397,68.351876
2021-01-01 18:00,361.88044,230.980274,54.518091,162.278754,120.743615,63.351579,101.696521,135.004254,18.441231,25.183758
