읍면동,충전소 수(확보),충전기 수확보),읍면동,충전소수(openapi),충전기수(openapi),읍면동,충전소 수비율,충전기수비율
건입동,7,12,건입동,14,20,건입동,50,60
구좌읍,19,32,구좌읍,46,82,구좌읍,41.3,39.02
남원읍,25,35,남원읍,43,65,남원읍,58.14,53.85
노형동,28,45,노형동,52,94,노형동,53.85,47.87
대륜동,15,25,대륜동,34,79,대륜동,44.12,31.65
대정읍,17,27,대정읍,33,63,대정읍,51.52,42.86
대천동,8,16,대천동,14,24,대천동,57.14,66.67
도두동,7,15,도두동,20,58,도두동,35,25.86
동홍동,15,26,동홍동,21,34,동홍동,71.43,76.47
봉개동,6,10,봉개동,13,21,봉개동,46.15,47.62
삼도1동,2,2,삼도1동,2,2,삼도1동,100,100
삼도2동,4,4,삼도2동,7,22,삼도2동,57.14,18.18
삼양동,13,18,삼양동,18,30,삼양동,72.22,60
서홍동,3,4,서홍동,5,6,서홍동,60,66.67
성산읍,24,40,성산읍,47,70,성산읍,51.06,57.14
송산동,3,3,송산동,7,8,송산동,42.86,37.5
아라동,27,42,아라동,56,91,아라동,48.21,46.15
안덕면,17,31,안덕면,60,100,안덕면,28.33,31
애월읍,28,44,애월읍,64,109,애월읍,43.75,40.37
연동,16,31,연동,27,45,연동,59.26,68.89
영천동,9,13,영천동,19,31,영천동,47.37,41.94
예래동,2,6,예래동,13,47,예래동,15.38,12.77
오라동,10,17,오라동,17,27,오라동,58.82,62.96
외도동,10,14,외도동,20,25,외도동,50,56
용담1동,2,3,용담1동,3,4,용담1동,66.67,75
용담2동,7,20,용담2동,25,71,용담2동,28,28.17
이도1동,4,5,이도1동,6,7,이도1동,66.67,71.43
이도2동,23,45,이도2동,34,63,이도2동,67.65,71.43
이호동,2,3,이호동,8,26,이호동,25,11.54
일도2동,10,18,일도2동,15,25,일도2동,66.67,72
정방동,2,4,정방동,3,6,정방동,66.67,66.67
조천읍,18,25,조천읍,64,93,조천읍,28.13,26.88
중문동,10,21,중문동,19,34,중문동,52.63,61.76
중앙동,3,7,중앙동,6,9,중앙동,50,77.78
천지동,4,7,천지동,8,11,천지동,50,63.64
표선면,12,20,표선면,22,37,표선면,54.55,54.05
한경면,14,21,한경면,28,40,한경면,50,52.5
한림읍,27,46,한림읍,57,91,한림읍,47.37,50.55
화북동,12,14,화북동,23,28,화북동,52.17,50
효돈동,3,5,효돈동,5,8,효돈동,60,62.5
전체,468,776,일도1동,1,1,전체,47.51,45.2
,,,우도면,5,5,,,
,,,추자면,1,5,,,
,,,전체,985,1717,,,
