일,일별충전량,일별충전횟수,일별충전기수
2021-01-01,22861.632,1466,374
2021-01-02,23434.46,1506,374
2021-01-03,23176.91,1505,394
2021-01-04,23679.7,1579,400
2021-01-05,24395.654,1607,404
2021-01-06,24669.619,1657,400
2021-01-07,13128.737,910,301
2021-01-08,11104.018,763,258
2021-01-09,10911.826,736,261
2021-01-10,15220.311,1045,311
2021-01-11,23952.96033,1604,364
2021-01-12,26928.157,1785,378
2021-01-13,25708.604,1656,395
2021-01-14,22600.349,1487,386
2021-01-15,24373.18733,1525,400
2021-01-16,22856.87,1472,388
2021-01-17,21236.482,1401,376
2021-01-18,25008.059,1621,394
2021-01-19,26735.57,1733,412
2021-01-20,25466.871,1646,403
2021-01-21,23646.25333,1542,406
2021-01-22,20953.3,1363,390
2021-01-23,20337.88,1238,359
2021-01-24,25168.824,1575,405
2021-01-25,25875.181,1660,414
2021-01-26,24390.474,1585,403
2021-01-27,27871.74667,1822,420
2021-01-28,26662.67,1787,418
2021-01-29,26385.29333,1820,416
2021-01-30,25646.11033,1702,411
2021-01-31,23308.05533,1453,399
2021-02-01,22285.39067,1471,388
2021-02-02,28797.774,1905,441
2021-02-03,28058.78467,1839,419
2021-02-04,26911.222,1786,413
2021-02-05,27637.813,1806,423
2021-02-06,24951.363,1613,402
2021-02-07,23199.67,1478,404
2021-02-08,28199.67,1878,424
2021-02-09,28887.06,1980,440
2021-02-10,29241.888,1944,434
2021-02-11,21936.433,1431,385
2021-02-12,18828.4,1233,374
2021-02-13,21148.38,1399,380
2021-02-14,20266.65,1332,387
2021-02-15,26974.73733,1792,409
2021-02-16,28067.421,1863,423
2021-02-17,25926.79,1777,410
2021-02-18,26939.869,1894,411
2021-02-19,30489.04867,2015,430
2021-02-20,25805.449,1599,411
2021-02-21,24667.704,1530,412
2021-02-22,24791.56,1613,418
2021-02-23,27697.751,1833,423
2021-02-24,27014.63,1765,434
2021-02-25,27013.75033,1719,426
2021-02-26,28338.464,1834,418
2021-02-27,26360.871,1691,415
2021-02-28,24956.173,1551,392
2021-03-01,21264.68,1362,362
2021-03-02,31662.105,2084,442
2021-03-03,29512.761,1885,422
2021-03-04,24775.912,1613,405
2021-03-05,29520.282,1904,419
2021-03-06,25054.62867,1624,396
2021-03-07,25187.097,1610,404
2021-03-08,26809.587,1754,410
2021-03-09,26930.98667,1814,430
2021-03-10,28003.42667,1823,428
2021-03-11,26663.076,1709,421
2021-03-12,29570.346,1863,426
2021-03-13,26921.186,1661,401
2021-03-14,24062.764,1535,403
2021-03-15,26830.11,1718,419
2021-03-16,25823.28467,1689,421
2021-03-17,27750.785,1746,431
2021-03-18,27693.7,1758,434
2021-03-19,27524.435,1751,439
2021-03-20,23427.09,1478,398
2021-03-21,27266.157,1726,430
2021-03-22,30254.515,1948,444
2021-03-23,29982.493,1916,449
2021-03-24,29102.25,1841,455
2021-03-25,29213.495,1853,445
2021-03-26,28000.284,1803,461
2021-03-27,22659.409,1396,408
2021-03-28,27966.33733,1711,437
2021-03-29,26593.238,1725,443
2021-03-30,26556.85933,1694,465
2021-03-31,26162.746,1680,450
2021-04-01,23149.609,1504,436
2021-04-02,30805.127,1906,453
2021-04-03,24171.166,1442,404
2021-04-04,24615.502,1509,406
2021-04-05,28182.59,1791,445
2021-04-06,28584.409,1821,452
2021-04-07,26565.67233,1725,452
2021-04-08,27480.63467,1764,451
2021-04-09,28400.239,1807,456
2021-04-10,26502.27,1660,450
2021-04-11,26050.145,1645,435
2021-04-12,22391.563,1394,390
2021-04-13,31265.21,1976,471
2021-04-14,28865.798,1855,462
2021-04-15,29593.73,1913,467
2021-04-16,27895.755,1758,453
2021-04-17,25557.885,1614,438
2021-04-18,25569.7,1620,440
2021-04-19,26800.85,1747,454
2021-04-20,26985.40333,1726,467
2021-04-21,27176.83667,1719,455
2021-04-22,26696.16333,1692,445
2021-04-23,27002.399,1728,470
2021-04-24,25043.373,1573,433
2021-04-25,24740.64,1548,426
2021-04-26,26818.165,1705,447
2021-04-27,23185.20667,1541,453
2021-04-28,28266.50133,1761,446
2021-04-29,26904.84,1724,448
2021-04-30,25173.13833,1702,458
2021-05-01,26973.23333,1671,444
2021-05-02,24488.26,1543,426
2021-05-03,27172.403,1697,455
2021-05-04,21631.80867,1433,415
2021-05-05,27965.205,1745,447
2021-05-06,28447.882,1853,469
2021-05-07,28987.54333,1877,466
2021-05-08,25047.047,1595,448
2021-05-09,23791.365,1510,437
2021-05-10,26964.78233,1745,461
2021-05-11,25510.15733,1609,443
2021-05-12,29076.932,1848,474
2021-05-13,28357.927,1820,465
2021-05-14,28644.80867,1830,458
2021-05-15,24934.84333,1583,451
2021-05-16,20554.344,1306,392
2021-05-17,26513.02,1740,468
2021-05-18,26398.691,1743,470
2021-05-19,27281.629,1710,458
2021-05-20,24654.912,1586,436
2021-05-21,29044.135,1869,477
2021-05-22,26694.09933,1672,466
2021-05-23,23808.02767,1476,431
2021-05-24,28872.88133,1841,469
2021-05-25,28382.68,1812,478
2021-05-26,23734.46,1546,456
2021-05-27,30134.58,1918,479
2021-05-28,30043.652,1910,489
2021-05-29,26182.18,1659,453
2021-05-30,26174.26,1650,448
2021-05-31,28944.29833,1815,463
2021-06-01,29550.32067,1844,472
2021-06-02,28334.30667,1797,488
2021-06-03,26072.247,1619,450
2021-06-04,28196.184,1833,482
2021-06-05,26058.12067,1628,463
2021-06-06,25836.016,1617,454
2021-06-07,29460.38,1866,471
2021-06-08,29124.662,1887,483
2021-06-09,30734.839,1972,486
2021-06-10,28022.39,1757,465
2021-06-11,25579.465,1586,420
2021-06-12,28128.421,1773,460
2021-06-13,26637.35267,1661,447
2021-06-14,30117.43067,1887,474
2021-06-15,24948.867,1543,426
2021-06-16,30029.17,1883,464
2021-06-17,29786.088,1859,465
2021-06-18,29009.17167,1837,473
2021-06-19,28919.048,1802,469
2021-06-20,28914.75,1805,467
2021-06-21,33200.66567,2054,486
2021-06-22,31976.78867,2018,488
2021-06-23,31195.959,1932,474
2021-06-24,32981.44167,2073,482
2021-06-25,33521.332,2137,493
2021-06-26,28901.26,1780,466
2021-06-27,28850.37667,1788,460
2021-06-28,34061.325,2108,480
2021-06-29,31326.23,1954,481
2021-06-30,31785.90367,2000,485
2021-07-01,31854.29667,1970,486
2021-07-02,32796.52267,2002,477
2021-07-03,25083.55233,1536,407
2021-07-04,21523.2,1312,399
2021-07-05,31476.103,1949,457
2021-07-06,32335.669,2046,474
2021-07-07,30128.86733,1860,459
2021-07-08,30926.79667,1962,469
2021-07-09,33713.70367,2066,493
2021-07-10,31083.55333,1950,469
2021-07-11,29008.35767,1798,455
2021-07-12,34826.85833,2169,494
2021-07-13,35209.89333,2186,486
2021-07-14,34082.83133,2126,481
2021-07-15,36338.74967,2271,512
2021-07-16,37525.30733,2300,517
2021-07-17,32658.17967,2021,495
2021-07-18,26127.572,1664,449
2021-07-19,38156.89933,2367,506
2021-07-20,35771.39933,2212,496
2021-07-21,36330.534,2247,507
2021-07-22,36303.82367,2269,513
2021-07-23,33899.75,2102,499
2021-07-24,29512.712,1791,473
2021-07-25,26846.471,1631,465
2021-07-26,31655.44233,1983,490
2021-07-27,34104.38467,2158,505
2021-07-28,36088.826,2208,498
2021-07-29,35616.744,2228,497
2021-07-30,32331.935,2194,495
2021-07-31,29179.063,1806,454
2021-08-01,34951.113,2058,478
2021-08-02,33025.55733,2166,482
2021-08-03,39107.24433,2355,500
2021-08-04,38221.444,2348,508
2021-08-05,37205.10933,2272,514
2021-08-06,37081.72,2299,512
2021-08-07,34919.508,2154,497
2021-08-08,27871.51867,1692,464
2021-08-09,32928.267,2089,508
2021-08-10,34850.23667,2182,510
2021-08-11,30154.94367,1900,484
2021-08-12,29020.54067,1846,477
2021-08-13,30160.87,1862,465
2021-08-14,25820.66333,1578,421
2021-08-15,27932.49767,1699,459
2021-08-16,29238.36,1794,469
2021-08-17,33761.52667,2056,502
2021-08-18,31278.50933,1937,488
2021-08-19,31730.738,1975,500
2021-08-20,32479.895,2047,498
2021-08-21,22456.62667,1370,412
2021-08-22,23984.47467,1515,428
2021-08-23,28736.598,1835,467
2021-08-24,30489.025,1896,461
2021-08-25,30886.12467,1907,464
2021-08-26,32758.52733,2106,501
2021-08-27,33686.27233,2079,507
2021-08-28,33647.491,2031,486
2021-08-29,31473.09567,1902,491
2021-08-30,33548.20933,2065,496
2021-08-31,32791.51667,2046,486
2021-09-01,31924.94167,1952,488
2021-09-02,30039.52333,1848,480
2021-09-03,31819.98767,1999,479
2021-09-04,29191.306,1813,474
2021-09-05,23359.49767,1496,441
2021-09-06,30458.00533,1952,468
2021-09-07,31547.089,1992,499
2021-09-08,33867.03233,2078,503
2021-09-09,35047.05,2065,516
2021-09-10,30746.783,1907,493
2021-09-11,31271.07567,1870,476
2021-09-12,31249.40267,1841,480
2021-09-13,28499.06933,1743,461
2021-09-14,28865.909,1703,441
2021-09-15,35026.05733,2104,482
2021-09-16,22483.05,1412,409
2021-09-17,29677.385,1832,447
2021-09-18,31878.86067,1931,479
2021-09-19,30763.84567,1896,462
2021-09-20,29339.56267,1853,467
2021-09-21,24678.661,1536,452
2021-09-22,28652.44133,1786,466
2021-09-23,33665.179,2095,486
2021-09-24,33125.17733,2036,512
2021-09-25,30080.62933,1819,488
2021-09-26,29088.81,1778,475
2021-09-27,31308.05567,1996,489
2021-09-28,33293.827,2073,511
2021-09-29,33067.91333,2091,514
2021-09-30,32318.23633,1982,510
2021-10-01,32758.54667,2000,500
2021-10-02,32224.31333,1955,497
2021-10-03,29400.78,1768,483
2021-10-04,34171.08133,2029,511
2021-10-05,34457.57133,2132,506
2021-10-06,34273.83667,2124,512
2021-10-07,35495.32,2221,535
2021-10-08,33824.93633,2101,502
2021-10-09,30838.23,1819,466
2021-10-10,31710.84,1926,495
2021-10-11,31997.43633,1904,484
2021-10-12,30051.91433,1876,482
2021-10-13,32894.87833,2038,488
2021-10-14,35502.23567,2131,528
2021-10-15,32388.14767,1993,510
2021-10-16,27274.07333,1675,475
2021-10-17,32640.66233,1915,502
2021-10-18,34251.25533,2113,512
2021-10-19,34136.49,2053,518
2021-10-20,34020.85767,2099,537
2021-10-21,33486.54433,2036,520
2021-10-22,34821.50333,2130,518
2021-10-23,32026.72567,1930,511
2021-10-24,29519.50667,1754,487
2021-10-25,32421.83133,2000,513
2021-10-26,33611.76733,2129,520
2021-10-27,32728.858,2031,512
2021-10-28,33253.48533,2066,522
2021-10-29,31801.29,1993,515
2021-10-30,30730.71233,1864,489
2021-10-31,29272.094,1727,476
2021-11-01,32592.15233,2012,501
2021-11-02,33247.15167,2009,522
2021-11-03,34464.39,2097,521
