운영기관,충전기명혹은Id,행정시,변전소,읍면동,충전기별 1회 충전당 평균 충전소요시간,충전기별 1회 충전당 평균 충전량,충전기별 일평균 충전횟수,충전기별 월평균 충전횟수,충전기별 일평균 충전소요시간(분),충전기별 월평균 충전소요시간(분),충전기별 일평균 충전량,충전기별 월평균 충전량
한전,10978,제주시,동제주,아라동,24.38624339,20.24164021,1.105263158,31.9,26.95321637,782.3,22.37233918,639.654
한전,10979,제주시,동제주,아라동,26.20673077,20.66245994,1.234421365,36.7,32.35014837,970.7,25.506182,759.866
한전,10980,제주시,동제주,아라동,28.78947368,17.5124269,0.347560976,10.1,10.00609756,298.6,6.086636179,181.484
한전,10981,제주시,동제주,아라동,33.30584192,20.32353952,0.887195122,27.5,29.54878049,922.7,18.03094512,567.5403333
한전,10982,제주시,한림,애월읍,39.11333333,19.46457778,0.352941176,10.61538462,13.80470588,416.2307692,6.86985098,213.0051282
한전,10983,제주시,한림,애월읍,35.4375,20.96325,0.19047619,5.384615385,6.75,189.6923077,3.993,112.8315385
한전,10984,제주시,산지,이도2동,41.29756098,22.12554472,0.482352941,14.38461538,19.92,583.8461538,10.67232157,311.3135897
한전,10985,제주시,산지,이도2동,32.58130081,20.63756098,0.577464789,16.53846154,18.81455399,544.3846154,11.91746479,347.6015385
한전,10986,제주시,동제주,봉개동,35.98979592,22.42397959,0.230046948,6.615384615,8.279342723,235.8461538,5.158568075,142.41
한전,10987,제주시,산지,이도2동,59.25357143,27.31772619,2.094763092,65.25,124.1221945,3907.916667,57.22416459,1789.702222
한전,10988,제주시,산지,이도2동,54.31038506,28.10892649,2.011737089,62.46153846,109.258216,3427.230769,56.54776995,1775.986154
한전,10989,제주시,산지,이도2동,45.94206009,24.5012804,1.517915309,46.22222222,69.73615635,2128.333333,37.19086862,1120.464074
한전,10990,제주시,산지,이도2동,44.80571429,24.55030476,0.823529412,24.46153846,36.89882353,1098.769231,20.21789804,601.5574359
한전,10991,제주시,산지,이도2동,49.99319728,26.12088435,0.365671642,10.58333333,18.28109453,520.4166667,9.551666667,273.0325
한전,10992,제주시,산지,이도2동,51.06214689,26.49352166,0.441396509,13.58333333,22.53865337,700,11.69414796,360.8211111
한전,10993,제주시,산지,이도2동,44.68156425,25.28243948,0.456632653,13.66666667,20.40306122,608.0833333,11.54478741,344.9572222
한전,10994,제주시,산지,이도2동,50.8585209,24.75998928,0.74047619,23.23076923,37.65952381,1185.615385,18.33418254,576.975641
한전,10995,제주시,산지,이도2동,54.51960784,25.43362745,0.465753425,15.16666667,25.39269406,830.1666667,11.84579909,393.175
한전,10996,제주시,산지,이도2동,55.38410596,20.96333333,0.488673139,15.11111111,27.06472492,854.4444444,10.24421791,311.4088889
한전,10997,제주시,한림,애월읍,37.98087432,22.47996357,0.92893401,28.16666667,35.28172589,1065.916667,20.88240271,633.8408333
한전,10998,제주시,산지,용담2동,29.26666667,16.73266667,0.048387097,1.3,1.416129032,34,0.809645161,20.061
한전,10999,제주시,산지,용담2동,40.45192308,21.90490385,0.247030879,7.384615385,9.992874109,298.1538462,5.411187648,161.5423077
한전,11000,제주시,산지,용담2동,37.672,21.58888,0.362318841,10.8,13.64927536,391.6,7.822057971,222.663
한전,11001,제주시,산지,용담2동,48.07563025,25.46218487,0.360606061,10.6,17.33636364,495.8,9.181818182,260.256
한전,11002,제주시,산지,용담2동,54.14423077,30.41426282,0.301449275,9.2,16.32173913,524.7,9.168357488,290.407
한전,11003,제주시,조천,구좌읍,40.33495146,22.79372977,0.96037296,29.46153846,38.73659674,1197.769231,21.89048174,671.3951282
한전,11004,제주시,조천,구좌읍,39.61433447,22.2807281,0.749360614,23.5,29.68542199,938.1666667,16.69630009,528.5627778
한전,11005,제주시,한림,한림읍,49.00977199,28.12480999,0.732696897,21.23076923,35.90930788,1036.384615,20.60696102,593.5794872
한전,11006,제주시,한림,한림읍,27.72058824,14.29426471,0.329297821,9.692307692,9.128329298,270.6153846,4.707070218,139.5923077
한전,11007,제주시,신제주,오라동,31.70909091,17.66236364,0.148247978,4.363636364,4.700808625,137.5454545,2.618409704,77.20272727
한전,11018,제주시,신제주,노형동,34.24324324,22.56797297,0.567774936,15.91666667,19.44245524,546.3333333,12.81352941,360.3608333
한전,11019,제주시,한림,애월읍,24.3125,14.66375,0.040712468,1.166666667,0.989821883,27,0.596997455,16.12666667
한전,11020,제주시,한림,애월읍,39.05263158,22.54368421,0.048346056,1.333333333,1.888040712,54.16666667,1.089898219,30.5875
한전,11021,제주시,한림,애월읍,33.64,19.35533333,0.119904077,3.833333333,4.033573141,125.0833333,2.320783373,71.75722222
한전,11022,제주시,한림,애월읍,39.37209302,22.58020672,0.313868613,9.333333333,12.35766423,371.75,7.087218167,213.1988889
한전,11023,제주시,한림,애월읍,41.06741573,24.06205993,0.454081633,12.66666667,18.64795918,521.5833333,10.92613946,310.0105556
한전,11028,제주시,한림,한경면,35.7202381,21.68815476,0.400954654,10.69230769,14.3221957,387.3846154,8.695966587,230.25
한전,11029,제주시,한림,한경면,38.60307692,23.0309641,0.775656325,23.84615385,29.94272076,918.3076923,17.86411297,542.5161538
한전,11030,제주시,신제주,노형동,52.99498747,28.06494152,2.326530612,71,123.2944606,3837.6,65.29394558,2011.713667
한전,11031,제주시,신제주,노형동,51.29888268,28.67407821,2.081395349,65.7,106.7732558,3387.7,59.68209302,1880.515333
한전,11032,제주시,신제주,노형동,41.73259053,20.96377437,1.721822542,53.5,71.85611511,2260.166667,36.09589928,1138.030278
한전,11033,제주시,신제주,노형동,47.05415861,23.88950355,2.473684211,77.16666667,116.3971292,3623.25,59.09508772,1850.838056
한전,11034,제주시,신제주,노형동,43.47871236,21.08281239,4.743842365,148.4166667,206.2561576,6486,100.0135386,3128.858056
한전,11037,제주시,신제주,도두동,45.72826087,31.40461051,0.895377129,28.5,40.94403893,1337.916667,28.11896999,913.3961111
한전,11038,제주시,신제주,도두동,45.93663912,32.11051423,0.887530562,28,40.77017115,1310.75,28.49906275,909.0913889
한전,11039,제주시,신제주,도두동,49.3358209,33.05146766,0.324455206,9.923076923,16.00726392,498.5384615,10.72372074,332.9235897
한전,11045,서귀포시,한라,천지동,46.38768116,22.59596618,0.705882353,20.91666667,32.74424552,959.25,15.95009378,472.5408333
한전,11048,서귀포시,안덕,안덕면,28.42857143,23.69258929,0.32,10.3,9.097142857,302.4,7.581628571,250.909
한전,11049,서귀포시,안덕,안덕면,29.67808219,23.52631279,0.829545455,26.6,24.61931818,792.2,19.51614583,632.1843333
한전,11050,서귀포시,한라,천지동,37.51219512,20.68268293,0.465909091,14.3,17.47727273,550.5,9.63625,297.899
한전,11055,서귀포시,표선,표선면,26.53043478,22.59684058,0.33045977,10.7,8.767241379,293,7.467346743,246.734
한전,11056,서귀포시,표선,표선면,29.4040404,20.0379798,0.282051282,8.2,8.293447293,251.2,5.651737892,159.908
한전,11057,서귀포시,표선,표선면,50.76229508,26.3407377,0.36746988,11.4,18.65361446,595.1,9.679427711,305.464
한전,11058,서귀포시,한라,남원읍,43.69144981,26.01975836,1.563953488,48.8,68.33139535,2149.8,40.69369186,1270.15
한전,11059,서귀포시,신서귀,대천동,49.81761006,28.07689727,0.935294118,27.9,46.59411765,1402,26.26015686,783.4013333
한전,11060,서귀포시,신서귀,대천동,46.64309764,25.90457912,0.860869565,25.8,40.15362319,1211.6,22.30046377,663.975
한전,11062,제주시,신제주,도두동,37.47887324,22.77177465,1.008522727,30.1,37.79829545,1146.2,22.96585227,691.3
한전,11063,제주시,신제주,도두동,38.71216617,22.24213155,1.92022792,57,74.33618234,2260.4,42.70996201,1260.643
한전,11064,제주시,신제주,도두동,41.0766129,23.52566756,2.214285714,68.3,90.95535714,2836.2,52.0925496,1620.597667
한전,11065,제주시,신제주,도두동,41.4368932,24.209911,1.208211144,37.7,50.06451613,1594.9,29.25068426,928.5753333
한전,11066,제주시,신제주,오라동,35.66528926,23.85152204,1.44047619,41.4,51.375,1491.6,34.3575496,974.646
한전,11067,제주시,신제주,오라동,35.88235294,23.60301471,0.415902141,11.2,14.9235474,400.8,9.816544343,253.733
한전,11068,제주시,신제주,오라동,36.75,24.68070946,0.880952381,26.5,32.375,980.1,21.74252976,647.356
한전,11069,제주시,신제주,오라동,38.53299492,24.20284264,0.586309524,14.1,22.5922619,547.4,14.19035714,331.427
한전,1153,제주시,신제주,연동,44.53019447,14.6418799,1.81598513,54.4375,80.866171,2398.4375,26.58943618,783.6504167
한전,1166,제주시,산지,이도2동,54.80772325,19.05923304,2.310408922,69.125,126.6282528,3803.1875,44.03462206,1309.824792
한전,12148,제주시,조천,구좌읍,4,4.28,1,NaN,4,NaN,4.28,NaN
한전,12149,제주시,조천,구좌읍,30.33333333,23.14333333,1.5,NaN,45.5,NaN,34.715,NaN
한전,12151,제주시,조천,구좌읍,27.66666667,28.36111111,3,NaN,83,NaN,85.08333333,NaN
한전,1229,서귀포시,성산,성산읍,43.31202046,16.71485081,0.728119181,21.6875,31.53631285,942.3125,12.17040348,354.0775
한전,1231,서귀포시,한라,동홍동,39.37787567,21.28998858,3.79739777,114.1875,149.5334572,4502,80.84655514,2429.298125
한전,1232,서귀포시,성산,성산읍,35.69214876,20.1419146,1.799256506,55.1875,64.21933086,1978,36.24047088,1127.447708
한전,1235,서귀포시,한라,송산동,32.97884148,18.05784831,5.358736059,161.1875,176.7249071,5310,96.76724287,2901.873958
한전,1237,제주시,신제주,도두동,43.82605798,22.61060646,5.578066914,168.25,244.464684,7328.8125,126.1234758,3865.693333
한전,1238,제주시,신제주,도두동,44.19526095,19.68367826,6.197026022,184.5,273.8791822,8124.6875,121.9802664,3661.553542
