운영기관,충전소명,충전소구분,행정시,변전소,읍면동,위도,경도,주소,충전소별 1회 충전당 평균 충전소요시간,충전소별 1회 충전당 평균 충전량,충전소별 일평균 충전횟수,충전소별 월평균 충전횟수,충전소별 일평균 충전소요시간(분),충전소별 월평균 충전소요시간(분),충전소별 일평균 충전량,충전소별 월평균 충전량
한전,LH제주본부,공용,제주시,산지,삼도1동,33.50412791,126.5233891,제주특별자치도 제주시 삼도1동 305-4,54.30408859,25.06020159,4.364312268,135.875,237,7418.5625,109.3705452,3425.117708
환경부,㈜행운식품,공용,제주시,조천,조천읍,33.536916,126.669926,#N/A,34.95354952,14.25233129,3.126027397,97.8,109.2657534,3389.3,44.55317808,1365.599
한전,가시리 조랑말체험공원,공용,서귀포시,표선,표선면,33.376661,126.744774,"제주특별자치도 서귀포시 표선면 녹산로 381-15 (가시리, 가시리조랑말체험공원)",36.93573844,14.33499436,1.651769088,52.3125,61.00931099,1926.125,23.67810056,743.2425
제주특별자치도,감사위원회,공용,서귀포시,신서귀,대륜동,33.25551475,126.5091962,#N/A,28.97978437,15.22752022,1.609544469,49.07142857,46.64425163,1428.214286,24.50937093,748.4842857
한전,강정상록 아파트,아파트용,서귀포시,신서귀,대천동,33.25490793,126.5047563,제주특별자치도 서귀포시 강정동 신서로 55,62.56930693,24.38049505,0.750929368,23.375,46.98513011,1450.25,18.30802974,560.399375
한전,강정생명평화교회,공용,서귀포시,신서귀,대천동,33.23764167,126.4955332,제주특별자치도 서귀포시 선반로65번길 61,38.93162393,21.74660969,0.217877095,6.6875,8.482309125,266.3125,4.738088144,147.8027083
한전,강창학경기장,공용,서귀포시,신서귀,대천동,33.259867,126.50178,제주특별자치도 서귀포시 중산간서로 95,35.18444252,18.9299977,10.7527881,326,378.330855,11405.5,203.550254,6163.593542
한전,개인택시조합,공용,제주시,신제주,도두동,33.49565495,126.4688947,제주특별자치도 제주시 도공로 147,44.02036306,21.07021521,11.77509294,352.75,518.3438662,15453.5,248.1037423,7527.246875
한전,건강과 성박물관,공용,서귀포시,안덕,안덕면,33.25488532,126.3464356,제주특별자치도 서귀포시 안덕면 감산리 1404,44.56741573,19.9399485,3.970260223,123.6875,176.9442379,5518.5,79.16678439,2462.709583
한전,건입현대 아파트,아파트용,제주시,산지,건입동,33.51673381,126.5352159,제주특별자치도 제주시 건입동 만덕로3길 26,56.87158145,22.63042806,3.126394052,94.8125,177.802974,5386.5625,70.75163569,2135.9275
제주특별자치도,걸매축구장,공용,서귀포시,한라,천지동,33.249188,126.554328,#N/A,29.97818282,17.25885391,6.730483271,209.375,201.767658,6254.8125,116.1604275,3593.449375
제주특별자치도,고산동산공영주차장,공용,제주시,산지,이도2동,33.49566427,126.5314157,#N/A,32.01084011,14.4595935,2.713235294,82.66666667,86.85294118,2667.666667,39.23227941,1190.386667
제주특별자치도,고성2리경로당,공용,제주시,한림,애월읍,33.4356323,126.4252454,#N/A,28.76673866,14.61147948,3.448789572,106.125,99.21042831,3039.875,50.39191806,1546.33875
한전,고스트타운,공용,제주시,한림,애월읍,33.47583497,126.356562,제주특별자치도 제주시 애월읍 부룡수길 35-14 (신엄리),38.78061224,22.51686224,0.937799043,28.33333333,36.36842105,1099.583333,21.11629187,641.6808333
제주특별자치도,고용복지플러스센터,공용,제주시,산지,이도1동,33.504284,126.52716,#N/A,29.9445061,13.52674806,3.349442379,102.625,100.2973978,3077.1875,45.3070632,1393.438125
한전,공항입구 공영주차장,공용,제주시,산지,용담2동,33.50351118,126.4957047,제주특별자치도 제주시 다호북길 7 (용담이동),44.34047109,24.45566024,1.098823529,34,48.72235294,1532.615385,26.8724549,843.5215385
제주특별자치도,관음사,공용,제주시,동제주,아라동,33.42616885,126.5578525,#N/A,29.69874477,14.78175732,1.614864865,45,47.95945946,1336.5,23.87054054,675.915
제주특별자치도,광치기해변공영주차장,공용,서귀포시,성산,성산읍,33.45533224,126.9255148,#N/A,26.33684211,15.00951579,6.182212581,192.4285714,162.8199566,5089.142857,92.79201735,2891.162857
제주특별자치도,구억리마을회관,공용,서귀포시,안덕,대정읍,33.27430455,126.2801318,#N/A,29.62087912,14.91697802,1.246575342,32.5,36.92465753,1024,18.59513699,501.2725
한전,구좌119센터,공용,제주시,조천,구좌읍,33.52019559,126.8600973,제주특별자치도 제주시 구좌읍 세화14길 8 (세화리),47.95676047,21.03344772,2.708178439,83,129.8754647,4006.9375,56.96232962,1738.882708
제주특별자치도,구좌농공단지(제주이야기),공용,제주시,조천,구좌읍,33.5532597,126.8168887,#N/A,29.41967213,14.53901639,0.567970205,17.25,16.70949721,504.25,8.257728119,245.62
제주특별자치도,구좌읍주민센터,공용,제주시,조천,구좌읍,33.522559,126.852085,#N/A,27.1989163,14.24753315,13.03531599,396.5,354.5464684,10731.9375,185.7210967,5687.756875
한전,국립제주박물관,공용,제주시,산지,건입동,33.514248,126.54897,제주특별자치도 제주시 일주동로 17,34.96701389,18.38474248,3.147540984,95.45454545,110.0601093,3375.909091,57.86673042,1748.295455
한전,국제대학교 버스차고지,공용,제주시,동제주,아라동,33.43879282,126.5706527,"제주특별자치도 제주시 516로 2870 (영평동, 제주국제대학교)",27.60133445,20.14803169,3.505847953,106.2,96.76608187,2974.3,70.63593567,2148.544333
제주특별자치도,국토교통인재개발원 인근 공영주차장,공용,서귀포시,신서귀,대륜동,33.25210295,126.515693,#N/A,29.602118,14.68562784,4.52739726,118.5,134.0205479,3548.25,66.48767123,1729.93
제주특별자치도,귀덕1리사무소,공용,제주시,한림,한림읍,33.43639286,126.2980444,#N/A,30.30769231,12.91769231,1.433823529,37.33333333,43.45588235,1160,18.52169118,489.6633333
제주특별자치도,그루터기,공용,제주시,동제주,삼양동,33.53302043,126.6001321,#N/A,30.55555556,15.90731481,0.203007519,6.0625,6.203007519,188.0625,3.229304511,96.91875
제주특별자치도,근로자종합복지관 주차장,공용,제주시,신제주,노형동,33.469694,126.486227,#N/A,30.59041111,11.83223777,17.13568773,518.25,524.1877323,15859.9375,202.7535316,6076.62
제주특별자치도,금악건강증진센터,공용,제주시,한림,한림읍,33.35653792,126.2966455,#N/A,28.52505967,15.22112172,1.841758242,55.78571429,52.53626374,1582.071429,28.03362637,845.4628571
제주특별자치도,금악리새마을회,공용,제주시,한림,한림읍,33.36007468,126.2947019,#N/A,30.08145106,13.89214921,2.715613383,83.125,81.68959108,2484.625,37.72570632,1140.16625
한전,김영갑갤러리,공용,서귀포시,성산,성산읍,33.37222377,126.8544309,제주특별자치도 서귀포시 성산읍 삼달리 437-5,38.04714142,16.89345704,1.853159851,56.0625,70.50743494,2146.5625,31.30627633,939.3220833
한전,김창열미술관,공용,제주시,한림,한림읍,33.339346,126.268699,제주특별자치도 제주시 한림읍 용금로 883-5,33.36979561,17.2075082,4.910780669,149.3125,163.8717472,5002.4375,84.50229864,2585.165625
한전,난산리 다목적회관,공용,서귀포시,성산,성산읍,33.401291,126.870952,제주특별자치도 서귀포시 성산읍 난산로 29,43.31202046,16.71485081,0.728119181,21.6875,31.53631285,942.3125,12.17040348,354.0775
제주특별자치도,난산보건진료소,공용,서귀포시,성산,성산읍,33.40093954,126.8721007,#N/A,29.46875,16.11951923,0.904347826,27.57142857,26.65,807.2857143,14.57765217,438.6785714
제주특별자치도,남원 공영노외1주차장,공용,서귀포시,한라,남원읍,33.2799482,126.7185876,#N/A,30.66666667,18.06435484,1.273972603,33.5,39.06849315,1054.5,23.01349315,624.6375
한전,남원 의례회관 주차장,공용,서귀포시,한라,남원읍,33.294428,126.711368,제주특별자치도 서귀포시 남원리 381,51.25622776,19.47797153,1.05046729,30.6875,53.84299065,1555.25,20.46097196,603.051875
한전,남원공영주차장,공용,서귀포시,한라,남원읍,33.27917281,126.7211247,제주특별자치도 서귀포시 남원읍 태위로700번길 4-1 (남원리),43.69144981,26.01975836,1.563953488,48.8,68.33139535,2149.8,40.69369186,1270.15
제주특별자치도,남원생활체육관,공용,서귀포시,한라,남원읍,33.278057,126.704457,#N/A,28.44210526,15.29112281,1.78125,53.44444444,50.6625,1519.444444,27.2373125,836.2433333
제주특별자치도,남원읍사무소,공용,서귀포시,한라,남원읍,33.279806,126.720472,#N/A,27.93417278,15.03710551,11.66171004,356,325.760223,9969.25,175.3583643,5349.575625
제주특별자치도,납읍리보건소,공용,제주시,한림,애월읍,33.43872311,126.3301263,#N/A,29.70273794,15.66057801,4.300934579,133.625,127.7495327,3977.6875,67.3551215,2067.061875
제주특별자치도,노형 부영아파트 1단지,아파트용,제주시,신제주,노형동,33.4801071,126.4850463,#N/A,29.12938674,13.97404821,5.243494424,160.5625,152.739777,4667.25,73.27284387,2264.268125
한전,노형 제2공영주차장,공용,제주시,신제주,노형동,33.48730913,126.4797825,제주특별자치도 제주시 월랑로2길 1 (노형동),43.57948718,21.88957009,9.330143541,295,406.6028708,12915.75,204.2328309,6478.087222
제주특별자치도,노형2지구 공영주차장,공용,제주시,신제주,노형동,33.48033201,126.4775801,#N/A,30.28455285,15.1695122,1.937007874,43.33333333,58.66141732,1269.666667,29.38346457,580.8633333
한전,노형2차부영 아파트,아파트용,제주시,신제주,노형동,33.47699696,126.4845871,제주특별자치도 제주시 노형동 754-4,48.77493075,18.07086565,2.68401487,81.625,130.9126394,3991.25,48.50247212,1459.833125
