충전소명,충전기,충전기ID,운영기관
LH제주본부,급속01,1431,한전
가시리 조랑말체험공원,급속01,1466,한전
강정상록 아파트,급속01,3641,한전
강정생명평화교회,급속02,9731,한전
강정생명평화교회,급속01,9730,한전
강창학경기장,급속01,1467,한전
강창학경기장,급속02,1468,한전
강창학경기장,급속03,1469,한전
개인택시조합,급속01,1237,한전
개인택시조합,급속02,1238,한전
건강과 성박물관,급속01,8772,한전
건강과 성박물관,급속03,8774,한전
건강과 성박물관,급속02,8773,한전
건입현대 아파트,급속01,3509,한전
고스트타운,급속03,11021,한전
고스트타운,급속04,11022,한전
고스트타운,급속01,11019,한전
고스트타운,급속02,11020,한전
고스트타운,급속05,11023,한전
공항입구 공영주차장,급속02,10999,한전
공항입구 공영주차장,급속05,11002,한전
공항입구 공영주차장,급속11,11001,한전
공항입구 공영주차장,급속03,11000,한전
공항입구 공영주차장,급속01,10998,한전
구좌119센터,급속01,9733,한전
국립제주박물관,급속02,1433,한전
국립제주박물관,급속01,1432,한전
국립제주박물관,급속03,9769,한전
국제대학교 버스차고지,급속01,10978,한전
국제대학교 버스차고지,급속02,10979,한전
국제대학교 버스차고지,급속03,10980,한전
국제대학교 버스차고지,급속04,10981,한전
김영갑갤러리,급속02,8668,한전
김영갑갤러리,급속01,8667,한전
김창열미술관,급속01,1434,한전
김창열미술관,급속02,1435,한전
난산리 다목적회관,급속01,1229,한전
남원 의례회관 주차장,급속01,1470,한전
남원 의례회관 주차장,급속02,1471,한전
남원공영주차장,급속01,11058,한전
노형 제2공영주차장,급속03,11033,한전
노형 제2공영주차장,급속02,11032,한전
노형 제2공영주차장,급속04,11034,한전
노형 제2공영주차장,급속01,11018,한전
노형2차부영 아파트,급속01,3514,한전
노형지구중흥S클래스 아파트,급속01,3520,한전
농어촌공사 제주지역본부,급속01,8653,한전
농업기술원,급속02,11060,한전
농업기술원,급속01,11059,한전
대유대림 아파트,급속01,5217,한전
대정읍사무소,급속04,9787,한전
대정읍사무소,급속03,9786,한전
대정읍사무소,급속01,9784,한전
대정읍사무소,급속02,9785,한전
대천동주민센터,급속01,1473,한전
도남1차e-편한세상,급속01,3525,한전
도두동 주민센터,급속01,1436,한전
도로교통공단 제주지부,급속01,9710,한전
도로교통공단 제주지부,급속02,9711,한전
동광리버스차고지,급속02,11049,한전
동광리버스차고지,급속01,11048,한전
동물위생시험소(동물보호센터),급속01,10986,한전
동부농업기술센타,급속01,1437,한전
동부농업기술센타,급속04,9876,한전
동부소방서,급속01,1474,한전
마라도 가는 여객선,급속01,8669,한전
물영아리주차장,급속01,9727,한전
물영아리주차장,급속02,9728,한전
미듬아뜨리에 아파트,급속01,3528,한전
방주교회,급속02,9716,한전
방주교회,급속01,9715,한전
번개과학체험관,급속02,9722,한전
번개과학체험관,급속01,9721,한전
베라체 공영주차장,급속01,8063,한전
베스트힐 주차장(조천읍),급속01,1440,한전
삼성혈,급속01,9707,한전
삼성혈,급속02,9708,한전
삼양2동 공영주차장,급속01,8061,한전
새마을금고제주연수원,급속02,8186,한전
새마을금고제주연수원,급속01,8185,한전
생각하는정원,급속01,8768,한전
생각하는정원,급속02,8769,한전
서귀포개인택시조합,급속01,9718,한전
서귀포개인택시조합,급속02,9719,한전
서귀포남원LH 아파트,급속01,3647,한전
서귀포대정LH 아파트,급속01,3650,한전
서귀포동홍3LH 아파트,급속01,3653,한전
서귀포시교육지원청,급속02,8125,한전
서귀포시교육지원청,급속01,8124,한전
서귀포의료원,급속01,1231,한전
서귀포지사,급속03,8820,한전
서귀포지사,급속01,303,한전
서귀포지사,급속02,8819,한전
서귀포해양경찰서,급속01,1475,한전
서귀포해양경찰서,급속02,1476,한전
서귀포향토오일장,급속01,9724,한전
서귀포향토오일장,급속02,9725,한전
서귀포혁신LH1단지,급속01,5242,한전
서귀포혁신LH2단지,급속01,5244,한전
서부경찰서,급속01,1445,한전
서부경찰서,급속02,1446,한전
서부농업기술센터,급속02,2180,한전
서부농업기술센터,급속01,2179,한전
서부소방서,급속01,706,한전
서부소방서,급속02,707,한전
서커스월드공연장,급속01,8671,한전
서커스월드공연장,급속02,8670,한전
성산하수처리장,급속01,1477,한전
수산1리 복지회관,급속01,1232,한전
스마트그리드 홍보관,급속04,580,한전
스마트그리드 홍보관,급속03,579,한전
스마트그리드 홍보관,급속01,1379,한전
스마트그리드 홍보관,급속02,1380,한전
신성로 공영주차장,급속02,10988,한전
신성로 공영주차장,급속04,10990,한전
신성로 공영주차장,급속08,10994,한전
신성로 공영주차장,급속05,10991,한전
신성로 공영주차장,급속01,10987,한전
신성로 공영주차장,급속06,10992,한전
신성로 공영주차장,급속07,10993,한전
신성로 공영주차장,급속10,10996,한전
신성로 공영주차장,급속03,10989,한전
신성로 공영주차장,급속09,10995,한전
아라아이파크,급속01,3547,한전
아라원신 아파트,급속01,3551,한전
아트리움공연장,급속02,8702,한전
아트리움공연장,급속01,8701,한전
안덕계곡 주차장,급속02,1482,한전
안덕계곡 주차장,급속01,1481,한전
안덕면종합복지회관,급속01,1495,한전
안덕생활체육관,급속01,1483,한전
안덕생활체육관,급속02,1484,한전
애월119센터,급속02,1449,한전
애월119센터,급속01,1448,한전
에덴빌리지2차,급속01,3560,한전
연동대림1차아파트,급속01,7299,한전
연동한일시티,급속01,3565,한전
영산홍주택,급속01,7863,한전
영실매표소,급속01,1485,한전
영어교육도시119센터,급속02,1487,한전
영어교육도시119센터,급속01,1486,한전
예래동주민센터,급속01,1488,한전
용머리해안,급속01,1489,한전
용머리해안,급속02,1490,한전
용흥리사무소,급속01,10982,한전
용흥리사무소,급속02,10983,한전
웅전공영주차장,급속01,11030,한전
웅전공영주차장,급속02,11031,한전
유리의성,급속01,1450,한전
유리의성,급속02,11028,한전
유리의성,급속03,11029,한전
유수암,급속01,1451,한전
유수암,급속02,10997,한전
이도2동 공영주차장,급속02,10985,한전
이도2동 공영주차장,급속01,10984,한전
일도2차신천지,급속01,3572,한전
저지리사무소,급속02,9795,한전
저지리사무소,급속01,9705,한전
정방폭포,급속01,1235,한전
정원파인즈 10차,급속01,3574,한전
제일일출연립주택,급속01,3578,한전
제주 교육대학교,급속01,8032,한전
제주 교육대학교,급속02,8033,한전
제주 동부보건소,급속01,1452,한전
제주 동부보건소,급속02,1453,한전
제주 삼양 유적지,급속02,709,한전
제주 삼양 유적지,급속01,708,한전
제주경찰교육센터,급속01,8654,한전
제주고성LH 아파트,급속01,3580,한전
제주공항,급속06,6123,한전
제주공항,급속03,6120,한전
제주공항,급속04,6121,한전
제주공항,급속05,6122,한전
제주공항,급속08,6125,한전
제주공항,급속09,6126,한전
제주공항,급속07,6124,한전
제주공항,급속01,6118,한전
제주공항,급속02,6119,한전
제주교도소,급속01,12122,한전
제주국가생약자원관리센터,급속04,12164,한전
제주국제평화센터,급속01,1492,한전
제주국제평화센터,급속02,1493,한전
제주권역재활센터,급속01,8037,한전
제주권역재활센터,급속02,8038,한전
제주대학교,급속02,8795,한전
제주대학교,급속01,8794,한전
제주도교육청,급속02,8029,한전
제주도교육청,급속01,8028,한전
제주도련LH 아파트,급속01,3585,한전
제주부영1차 아파트,급속01,3588,한전
제주산학융합원,급속03,9739,한전
제주산학융합원,급속02,9738,한전
제주산학융합원,급속01,9737,한전
제주삼화1단지LH 아파트,급속01,3590,한전
제주삼화3단지LH 아파트,급속01,3595,한전
제주서귀포동홍6단지LH 아파트,급속01,3659,한전
제주소년원,급속01,12152,한전
제주수산연구소,급속01,8767,한전
제주시민속오일시장 3주차장,급속01,11062,한전
제주시민속오일시장 3주차장,급속02,11063,한전
제주시민속오일시장 3주차장,급속04,11065,한전
제주시민속오일시장 3주차장,급속03,11064,한전
제주아라LH 아파트,급속01,3599,한전
제주아라스위첸 아파트,급속01,3603,한전
제주아트센터,급속04,11069,한전
제주아트센터,급속03,11068,한전
제주아트센터,급속01,11066,한전
제주아트센터,급속02,11067,한전
제주외도아름마을LH 아파트,급속01,3607,한전
제주으뜸마을LH 아파트,급속01,3610,한전
제주의료원,급속02,711,한전
제주의료원,급속01,710,한전
제주이도한일베라체 아파트,급속01,5235,한전
제주전력지사,급속01,1166,한전
제주전력지사(공용),급속02,9782,한전
제주전력지사(공용),급속01,9781,한전
제주정든마을1단지LH 아파트,급속01,3613,한전
제주정든마을3단지LH 아파트,급속01,3617,한전
제주직할,급속02,1153,한전
제주직할,급속01,513,한전
제주탐라교육원,급속01,8655,한전
제주특별자치도 복지이음마루,급속01,11007,한전
제주하귀휴먼시아1단지,급속01,3624,한전
제주하귀휴먼시아2단지,급속01,3621,한전
제주한림LH 아파트,급속01,3625,한전
제주해녀박물관,급속03,12151,한전
제주해녀박물관,급속02,12149,한전
제주해녀박물관,급속01,12148,한전
제주해양경찰서,급속01,8813,한전
제주해양경찰서,급속02,8814,한전
제주화북3LH 아파트,급속01,3628,한전
조천119센터,급속01,1456,한전
종달리 종합복지회관,급속01,11003,한전
종달리 종합복지회관,급속02,11004,한전
종합경기장,급속04,631,한전
종합경기장,급속01,628,한전
종합경기장,급속05,632,한전
종합경기장,급속02,629,한전
종합경기장,급속03,630,한전
