Zone_2,Zone_7,Zone_10,Zone_3,Zone_1,Zone_4,Zone_8,Zone_6,Zone_5,Zone_9
71,37,9,44,88,46,71,55,64,26
71,37,9,55,88,46,71,57,63,25
72,43,15,57,92,52,75,72,64,32
79,46,15,58,95,53,76,80,66,34
83,46,15,58,100,53,80,85,67,33
80,45,15,57,102,52,78,90,67,34
90,47,18,61,111,56,78,88,71,33
93,51,18,64,112,56,81,95,69,34
91,51,18,64,111,55,82,94,71,34
93,51,17,63,114,57,85,96,72,34
99,51,17,64,117,54,85,101,74,34
100,50,19,66,117,56,86,99,75,34
95,37,12,53,107,46,70,71,58,26
96,39,13,56,108,46,77,78,61,30
97,39,13,55,109,46,75,77,63,30
98,38,13,56,109,46,75,75,63,30
96,37,13,55,109,46,74,75,63,30
97,40,13,55,108,46,74,77,62,30
