구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2020년01월01일,1989.5,1635.13,1464.94,981.25
2020년01월02일,1989.5,1635.23,1465.2,981.06
2020년01월03일,1989.5,1636.01,1465.88,981.8
2020년01월04일,1989.5,1637.31,1467.59,981.74
2020년01월05일,1989.5,1638.15,1468.32,982.4
2020년01월06일,1989.5,1639.09,1469.21,982.77
2020년01월07일,1989.5,1639.71,1469.95,982.69
2020년01월08일,1989.5,1640.33,1470.69,982.95
2020년01월09일,1989.5,1641.22,1471.23,983.49
2020년01월10일,1989.5,1641.69,1471.8,983.27
2020년01월11일,1989.5,1641.23,1471.39,983.17
2020년01월12일,1989.5,1642.29,1472.79,983.58
2020년01월13일,1989.5,1642.5,1473,983.85
2020년01월14일,1989.5,1642.93,1473.15,983.82
2020년01월15일,1989.5,1642.91,1473.36,983.82
2020년01월16일,1989.5,1642.91,1473.36,983.87
2020년01월17일,1989.5,1642.91,1473.25,983.93
2020년01월18일,1989.5,1642.98,1473.36,983.71
2020년01월19일,1989.5,1642.91,1473.36,983.66
2020년01월20일,1989.5,1642.86,1473.23,983.77
2020년01월21일,1989.5,1642.86,1473.15,983.93
2020년01월22일,1989.5,1642.86,1473.15,984.04
2020년01월23일,1989.5,1642.93,1473,983.79
2020년01월24일,1989.5,1642.89,1473.22,983.64
2020년01월25일,1989.5,1642.97,1473.19,983.75
2020년01월26일,1989.5,1642.86,1473.09,983.53
2020년01월27일,1989.5,1642.86,1473.03,983.75
2020년01월28일,1989.5,1642.9,1473.11,983.7
2020년01월29일,1980,1642.9,1472.89,983.48
2020년01월30일,1980,1642.78,1472.97,983.42
2020년01월31일,1980,1642.78,1472.71,983.42
2020년02월01일,1980,1642.49,1472.97,983.09
2020년02월02일,1980,1642.78,1472.97,983.59
2020년02월03일,1980,1642.77,1472.93,983.59
2020년02월04일,1980,1642.59,1472.66,983.64
2020년02월05일,1980,1642.6,1472.76,983.59
2020년02월06일,1980,1642.54,1472.76,983.59
2020년02월07일,1980,1642.54,1472.76,983.59
2020년02월08일,1980,1642.54,1472.61,983.59
2020년02월09일,1980,1642.54,1472.68,983.64
2020년02월10일,1980,1642.54,1472.76,983.48
2020년02월11일,1955,1604.09,1434.64,959.39
2020년02월12일,1955,1597.58,1428.23,950.87
2020년02월13일,1955,1590.6,1422.48,945.46
2020년02월14일,1955,1587.86,1419.84,942.4
2020년02월15일,1955,1586.81,1418.53,940.87
2020년02월16일,1955,1586.32,1418.68,940.1
2020년02월17일,1955,1586.52,1418.52,940.1
2020년02월18일,1955,1586.18,1418.34,940.21
2020년02월19일,1955,1586.12,1417.95,939.18
2020년02월20일,1955,1585.3,1417.33,939.07
2020년02월21일,1955,1585.4,1417.12,939.01
2020년02월22일,1955,1584.88,1417.02,939.28
2020년02월23일,1955,1584.78,1416.61,938.9
2020년02월24일,1955,1583.92,1415.93,938.68
2020년02월25일,1955,1582.99,1414.76,939.28
2020년02월26일,1940,1582.16,1414.61,939.5
2020년02월27일,1940,1582.78,1414.04,938.91
2020년02월28일,1940,1582.47,1414.4,939.08
2020년02월29일,1940,1582.16,1413.98,939.35
2020년03월01일,1940,1581.8,1413.94,939.02
2020년03월02일,1940,1582.48,1413.89,939.24
2020년03월03일,1940,1582.07,1413.79,940
2020년03월04일,1940,1581.6,1413.04,938.75
2020년03월05일,1940,1581.34,1412.6,938.47
2020년03월06일,1940,1580.88,1411.99,938.25
2020년03월07일,1940,1580.78,1411.7,938.3
