날짜/충전소,종합경기장,제주공항,서귀포지사,대정읍사무소,제주 삼양 유적지,개인택시조합,신성로 공영주차장,강창학경기장,노형 제2공영주차장,한림체육관,베라체 공영주차장,용머리해안,영어교육도시119센터,제주시민속오일시장 3주차장,제주도교육청,웅전공영주차장,제주 동부보건소,스마트그리드 홍보관,안덕계곡 주차장,삼양2동 공영주차장,애월119센터,제주국제평화센터,서부경찰서,서귀포시교육지원청,제주직할,아트리움공연장,LH제주본부,번개과학체험관,제주 교육대학교,정방폭포,안덕생활체육관,농어촌공사 제주지역본부,유수암,새마을금고제주연수원,화북4 아파트,김창열미술관,행복날개 주유소,화북1 아파트,도두동 주민센터,건강과 성박물관,제주전력지사(공용),서귀포의료원,제주대학교,아라원신 아파트,방주교회,예래동주민센터,제주아트센터,국제대학교 버스차고지,서부소방서,현대3노형부영5차 아파트,서귀포향토오일장,대유대림 아파트,한라산렌트카,성산하수처리장,아라아이파크,건입현대 아파트,생각하는정원,제주고성LH 아파트,화북주공2 아파트,제주이도한일베라체 아파트,혜성대유 아파트,화북2동 공영주차장,서커스월드공연장,제주정든마을1단지LH 아파트,마라도 가는 여객선,국립제주박물관,제주하귀휴먼시아1단지,유리의성,연동대림1차아파트,영실매표소,제주삼화1단지LH 아파트,구좌119센터,서귀포해양경찰서,한경농협 하나로마트,노형2차부영 아파트,제주정든마을3단지LH 아파트,농업기술원,제주전력지사,일도2차신천지,제주서귀포동홍6단지LH 아파트,물영아리주차장,수산1리 복지회관,대천동주민센터,현대3차 아파트,한라산국립공원 어리목탐방안내소,영산홍주택,제주외도아름마을LH 아파트,도남1차e-편한세상,삼성혈,남원공영주차장,제주권역재활센터,동부소방서,제주화북3LH 아파트,제주의료원,제주산학융합원,서부농업기술센터,노형지구중흥S클래스 아파트,제일일출연립주택,종달리 종합복지회관,제주탐라교육원,한경119센터,김영갑갤러리,한라산국립공원 관음사탐방안내소,제주아라스위첸 아파트,저지리사무소,제주부영1차 아파트,미듬아뜨리에 아파트,동광리버스차고지,제주삼화3단지LH 아파트,공항입구 공영주차장,청소년 문화의 집,제주한림LH 아파트,표선 해양경비단,제주도련LH 아파트,제주해양경찰서,조천119센터,한수풀도서관,천지공영주차장,가시리 조랑말체험공원,제주수산연구소,표선공영주차장,제주으뜸마을LH 아파트,도로교통공단 제주지부,남원 의례회관 주차장,이도2동 공영주차장,제주하귀휴먼시아2단지,고스트타운,동부농업기술센타,서귀포개인택시조합,서귀포남원LH 아파트,서귀포대정LH 아파트,에덴빌리지2차,강정상록 아파트,난산리 다목적회관,해오름 아파트,안덕면종합복지회관,토이파크,서귀포혁신LH2단지,용흥리사무소,서귀포혁신LH1단지,서귀포동홍3LH 아파트,베스트힐 주차장(조천읍),강정생명평화교회,연동한일시티,동물위생시험소(동물보호센터),제주아라LH 아파트,제주경찰교육센터,제주특별자치도 복지이음마루,정원파인즈 10차,현일 아파트,제주교도소,제주국가생약자원관리센터,제주소년원,제주해녀박물관,테크노파크 용암해수센터
2020-01,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
2020-02,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
2020-03,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0
2020-04,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2020-05,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0
2020-06,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
2020-07,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
2020-08,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0
2020-09,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
2020-10,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
2020-11,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
