충전소명,월평균충전량,충전량합,충전소구분,위도,경도
종합경기장,29647.56099,830131.7077,공용,33.49806927,126.5146922
제주공항,9195.251226,257467.0343,공용,33.50475714,126.4933755
서귀포지사,8453.398452,236695.1567,업무용,33.254374,126.510819
대정읍사무소,7346.360556,176312.6533,공용,33.22667532,126.2522736
제주 삼양 유적지,7092.675238,198594.9067,공용,33.523906,126.58817
개인택시조합,6893.146071,193008.09,공용,33.49565495,126.4688947
신성로 공영주차장,6736.997949,87580.97333,공용,33.49597363,126.5297437
강창학경기장,6502.323929,182065.07,공용,33.259867,126.50178
노형 제2공영주차장,6478.087222,77737.04667,공용,33.48730913,126.4797825
한림체육관,6431.214167,180073.9967,공용,33.409203,126.268436
베라체 공영주차장,5868.925595,164329.9167,공용,33.49303993,126.5454123
용머리해안,5758.270238,161231.5667,공용,33.2339822,126.3111
영어교육도시119센터,5099.885952,142796.8067,공용,33.282212,126.272676
제주시민속오일시장 3주차장,4501.116,45011.16,공용,33.49650689,126.4769323
제주도교육청,3980.557143,111455.6,공용,33.49055763,126.4979399
웅전공영주차장,3892.229,38922.29,공용,33.48261951,126.4720019
제주 동부보건소,3722.522619,104230.6333,공용,33.554663,126.751331
스마트그리드 홍보관,3666.210119,102653.8833,공용,33.55709901,126.8131196
안덕계곡 주차장,3600.327381,100809.1667,공용,33.257836,126.353287
삼양2동 공영주차장,3469.90869,97157.44333,공용,33.51991173,126.5825044
애월119센터,3436.775036,96229.701,공용,33.466829,126.348878
제주국제평화센터,3385.707262,94799.80333,공용,33.244668,126.421889
서부경찰서,3327.07369,93158.06333,공용,33.473854,126.406239
서귀포시교육지원청,3263.541905,91379.17333,공용,33.27072086,126.5894688
제주직할,3153.954048,88310.71333,업무용,33.48929,126.501216
아트리움공연장,3128.435952,87596.20667,공용,33.46509679,126.4552733
LH제주본부,3124.459762,87484.87333,공용,33.50412791,126.5233891
번개과학체험관,2844.051373,48348.87333,공용,33.28952291,126.5886129
제주 교육대학교,2837.502976,79450.08333,공용,33.51428066,126.552623
정방폭포,2821.554167,56431.08333,공용,33.245004,126.573164
안덕생활체육관,2760.377738,77290.57667,공용,33.256075,126.328364
농어촌공사 제주지역본부,2744.176429,76836.94,공용,33.5225765,126.5872452
유수암,2735.869881,76604.35667,공용,33.424263,126.408643
새마을금고제주연수원,2720.025286,76160.708,공용,33.41288941,126.3944119
화북4 아파트,2714.589048,76008.49333,아파트용,33.51800187,126.5739457
김창열미술관,2637.64869,73854.16333,공용,33.339346,126.268699
행복날개 주유소,2633.61619,73741.25333,공용,33.505297,126.497593
화북1 아파트,2517.2825,70483.91,아파트용,33.5207151,126.5753575
도두동 주민센터,2480.238095,69446.66667,공용,33.50311,126.468194
건강과 성박물관,2413.599524,67580.78667,공용,33.25488532,126.3464356
제주전력지사(공용),2390.9075,57381.78,공용,33.49830903,126.536698
서귀포의료원,2372.588929,66432.49,공용,33.25623,126.564014
제주대학교,2335.309643,65388.67,공용,33.45700693,126.56405
아라원신 아파트,2272.859048,63640.05333,아파트용,33.47152858,126.5441369
방주교회,2256.382222,54153.17333,공용,33.30512625,126.3872927
예래동주민센터,2208.258214,61831.23,공용,33.254524,126.397962
제주아트센터,2207.162,22071.62,공용,33.47712149,126.5154599
국제대학교 버스차고지,2148.544333,21485.44333,공용,33.43879282,126.5706527
서부소방서,2117.759048,59297.25333,공용,33.402687,126.270434
현대3노형부영5차 아파트,2055.385,57550.78,아파트용,33.47822332,126.4837664
서귀포향토오일장,2041.240952,42866.06,공용,33.26716385,126.5730314
대유대림 아파트,2020.342143,56569.58,아파트용,33.50314057,126.5516208
한라산렌트카,2017.772051,26231.03667,공용,33.49575264,126.47076
성산하수처리장,1978.444405,55396.44333,공용,33.452052,126.918956
아라아이파크,1948.136429,54547.82,아파트용,33.47757313,126.5501258
건입현대 아파트,1940.761429,54341.32,아파트용,33.51673381,126.5352159
생각하는정원,1913.373369,53574.45433,공용,33.32533636,126.2549869
제주고성LH 아파트,1912.983214,53563.53,아파트용,33.46567923,126.4107262
화북주공2 아파트,1900.4225,53211.83,아파트용,33.52096091,126.5775048
제주이도한일베라체 아파트,1858.523095,52038.64667,아파트용,33.49319595,126.5481339
혜성대유 아파트,1775.354643,49709.93,아파트용,33.50585433,126.5451796
화북2동 공영주차장,1771.526429,49602.74,공용,33.50904437,126.56073
서커스월드공연장,1766.244167,49454.83667,공용,33.314364,126.3445961
제주정든마을1단지LH 아파트,1754.507262,49126.20333,아파트용,33.48873627,126.4744203
마라도 가는 여객선,1748.772262,48965.62333,공용,33.20759477,126.2903609
국립제주박물관,1748.295455,19231.25,공용,33.514248,126.54897
제주하귀휴먼시아1단지,1721.673095,48206.84667,아파트용,33.48297512,126.416113
유리의성,1668.72,46724.16,공용,33.31372732,126.2723234
연동대림1차아파트,1660.820476,46502.97333,아파트용,33.48023672,126.4892416
영실매표소,1642.807738,45998.61667,공용,33.340577,126.480083
제주삼화1단지LH 아파트,1632.503214,45710.09,아파트용,33.51653431,126.5761142
구좌119센터,1489.325833,35743.82,공용,33.52019559,126.8600973
서귀포해양경찰서,1484.847143,41575.72,공용,33.251271,126.513811
한경농협 하나로마트,1479.878056,35517.07333,공용,33.34664809,126.1902546
노형2차부영 아파트,1459.375714,40862.52,아파트용,33.47699696,126.4845871
제주정든마을3단지LH 아파트,1458.248571,40830.96,아파트용,33.49043007,126.4724431
농업기술원,1447.376333,14473.76333,공용,33.26121751,126.4890889
제주전력지사,1439.675595,40310.91667,업무용,33.498596,126.536653
일도2차신천지,1387.825357,38859.11,아파트용,33.5061182,126.5463276
제주서귀포동홍6단지LH 아파트,1376.3175,38536.89,아파트용,33.26245037,126.5597317
물영아리주차장,1351.461667,10811.69333,공용,33.36074807,126.6924479
수산1리 복지회관,1342.426548,37587.94333,공용,33.446088,126.883146
대천동주민센터,1321.264881,36995.41667,공용,33.251056,126.477564
현대3차 아파트,1317.637143,36893.84,아파트용,33.51070858,126.5102008
한라산국립공원 어리목탐방안내소,1310.925595,36705.91667,공용,33.392437,126.494598
영산홍주택,1294.881786,36256.69,아파트용,33.49622195,126.5403595
제주외도아름마을LH 아파트,1279.459167,35824.85667,아파트용,33.48422686,126.4284657
도남1차e-편한세상,1273.061786,35645.73,아파트용,33.49579182,126.5219928
삼성혈,1272.478889,30539.49333,공용,33.50430126,126.5288722
남원공영주차장,1270.15,12701.5,공용,33.27917281,126.7211247
제주권역재활센터,1261.252262,35315.06333,공용,33.25276012,126.5622877
동부소방서,1220.9725,34187.23,공용,33.460444,126.910027
제주화북3LH 아파트,1209.608571,33869.04,아파트용,33.51961012,126.5770464
제주의료원,1208.76381,33845.38667,공용,33.445522,126.560081
제주산학융합원,1202.138611,28851.32667,공용,33.44732361,126.5674904
서부농업기술센터,1197.749643,33536.99,공용,33.35376182,126.2486857
노형지구중흥S클래스 아파트,1181.901786,33093.25,아파트용,33.48506456,126.4675606
제일일출연립주택,1167.215,32682.02,아파트용,33.46450302,126.4498468
종달리 종합복지회관,1159.701538,15076.12,공용,33.49275295,126.9004321
제주탐라교육원,1150.928095,32225.98667,공용,33.42558688,126.5287648
한경119센터,1125.235769,29256.13,공용,33.342896,126.182928
김영갑갤러리,1109.355714,31061.96,공용,33.37222377,126.8544309
한라산국립공원 관음사탐방안내소,1091.364405,30558.20333,공용,33.422222,126.55028
제주아라스위첸 아파트,1080.546786,30255.31,아파트용,33.47410317,126.5420793
저지리사무소,1075.830972,25819.94333,공용,33.33262667,126.2558563
제주부영1차 아파트,1054.636548,29529.82333,아파트용,33.48041256,126.4855438
미듬아뜨리에 아파트,1015.756905,28441.19333,아파트용,33.5051203,126.5226174
동광리버스차고지,883.0933333,8830.933333,공용,33.311869,126.342535
제주삼화3단지LH 아파트,853.2488095,23890.96667,아파트용,33.51391355,126.5849528
공항입구 공영주차장,843.5215385,10965.78,공용,33.50351118,126.4957047
청소년 문화의 집,832.4396429,23308.31,공용,33.249783,126.337094
제주한림LH 아파트,790.2296429,22126.43,아파트용,33.41893274,126.2659161
표선 해양경비단,782.875,21920.5,공용,33.35713918,126.8228739
제주도련LH 아파트,753.3838095,21094.74667,아파트용,33.508718,126.589294
제주해양경찰서,738.0792857,20666.22,공용,33.519952,126.540272
조천119센터,734.5589286,20567.65,공용,33.541344,126.64686
한수풀도서관,733.1717949,9531.233333,공용,33.42029842,126.2685489
천지공영주차장,725.0916667,8701.1,공용,33.25152782,126.5592891
가시리 조랑말체험공원,719.9315476,20158.08333,공용,33.376661,126.744774
제주수산연구소,717.9910714,20103.75,공용,33.493773,126.429014
표선공영주차장,712.106,7121.06,공용,33.32635425,126.8317567
제주으뜸마을LH 아파트,695.3527381,19469.87667,아파트용,33.47860928,126.4811949
도로교통공단 제주지부,695.3456944,16688.29667,공용,33.4750458,126.4647778
남원 의례회관 주차장,671.1035714,18790.9,공용,33.294428,126.711368
이도2동 공영주차장,658.9151282,8565.896667,공용,33.49677893,126.5349868
제주하귀휴먼시아2단지,648.1521429,18148.26,아파트용,33.48120416,126.4152002
고스트타운,641.6808333,7700.17,공용,33.47583497,126.356562
동부농업기술센타,619.1615476,17336.52333,공용,33.550276,126.750427
서귀포개인택시조합,608.5488406,13996.62333,공용,33.26943663,126.592884
서귀포남원LH 아파트,563.0360714,15765.01,아파트용,33.28143319,126.7212018
서귀포대정LH 아파트,543.6947619,15223.45333,아파트용,33.22772676,126.2523012
에덴빌리지2차,539.6421429,15109.98,아파트용,33.53140293,126.6654939
강정상록 아파트,515.3764643,14430.541,아파트용,33.25490793,126.5047563
난산리 다목적회관,512.8228571,14359.04,공용,33.401291,126.870952
해오름 아파트,507.6782143,14214.99,아파트용,33.4808592,126.4862813
안덕면종합복지회관,470.662619,13178.55333,공용,33.24603059,126.3335342
토이파크,410.8679762,11504.30333,공용,33.3189031,126.3453569
서귀포혁신LH2단지,376.5427143,10543.196,아파트용,33.2480065,126.5198351
용흥리사무소,325.8366667,4235.876667,공용,33.45877991,126.3694208
서귀포혁신LH1단지,324.1894048,9077.303333,아파트용,33.24958642,126.5236552
서귀포동홍3LH 아파트,273.0867857,7646.43,아파트용,33.24983366,126.5739081
베스트힐 주차장(조천읍),252.947381,7082.526667,공용,33.456637,126.656834
강정생명평화교회,147.6176812,3395.206667,공용,33.23764167,126.4955332
연동한일시티,146.1847619,4093.173333,아파트용,33.49160114,126.4885508
동물위생시험소(동물보호센터),142.41,1851.33,공용,33.45590005,126.5890796
제주아라LH 아파트,119.5654762,3347.833333,아파트용,33.47300047,126.5472189
제주경찰교육센터,86.44703704,2334.07,공용,33.44113169,126.5656366
제주특별자치도 복지이음마루,77.20272727,849.23,공용,33.49271912,126.5029526
정원파인즈 10차,60.05428571,1681.52,아파트용,33.48825397,126.5284429
현일 아파트,47.615,1237.99,아파트용,33.50857944,126.519051
제주교도소,NaN,45.29,공용,33.46281013,126.5146844
제주국가생약자원관리센터,NaN,12.37,공용,33.30558316,126.5704046
제주소년원,NaN,39.1,공용,33.40838097,126.3860662
제주해녀박물관,NaN,1124.32,공용,33.52321701,126.8627389
테크노파크 용암해수센터,NaN,53.73,공용,33.54108942,126.816158
