지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%)
980,강정,2021-01-01 0:00,2.6,295.2,2.6,0,,,60
980,강정,2021-01-01 1:00,2.7,283,3.5,0,,,62.1
980,강정,2021-01-01 2:00,2.7,296.6,2.6,0,,,63.3
980,강정,2021-01-01 3:00,2.6,307.5,3.5,0,,,63.2
980,강정,2021-01-01 4:00,2.2,296.6,1.3,0,,,62.6
980,강정,2021-01-01 5:00,2.5,328,2.5,0,,,58.9
980,강정,2021-01-01 6:00,2.3,324,1.5,0,,,60
980,강정,2021-01-01 7:00,2.3,315.8,1.7,0,,,62.2
980,강정,2021-01-01 8:00,2.1,279,1.8,0,,,69.4
980,강정,2021-01-01 9:00,3.7,299.3,3.3,0,,,59.4
980,강정,2021-01-01 10:00,3.9,0.3,3.9,0,,,52.7
980,강정,2021-01-01 11:00,4,344.7,2.4,0,,,56
980,강정,2021-01-01 12:00,4.4,347.9,3.1,0,,,56.6
980,강정,2021-01-01 13:00,4.8,315.8,2.5,0,,,57.4
980,강정,2021-01-01 14:00,4.5,314.9,2.5,0,,,62.4
980,강정,2021-01-01 15:00,4.6,327.1,2.3,0,,,62.6
980,강정,2021-01-01 16:00,4.5,334,2.7,0,,,62
980,강정,2021-01-01 17:00,4.5,323.1,2.5,0,,,63.6
980,강정,2021-01-01 18:00,4.4,312.9,1.9,0,,,63.7
980,강정,2021-01-01 19:00,4.5,321.1,2.2,0,,,64.3
980,강정,2021-01-01 20:00,5,345.2,2.7,0,,,61.9
980,강정,2021-01-01 21:00,5.2,328.4,2.6,0,,,60.8
980,강정,2021-01-01 22:00,5.2,305.1,2.2,0,,,64.1
980,강정,2021-01-01 23:00,5.3,291.8,2.6,0,,,65.8
980,강정,2021-01-02 0:00,5.3,287.2,3.7,0,,,62
980,강정,2021-01-02 1:00,5,286.8,2.3,0,,,60.2
980,강정,2021-01-02 2:00,5,286,3.5,0,,,61.2
980,강정,2021-01-02 3:00,4.8,286.2,2.7,0,,,59.9
980,강정,2021-01-02 4:00,4.4,300.3,1.2,0,,,60.7
980,강정,2021-01-02 5:00,4.7,282.9,2.1,0,,,62.2
980,강정,2021-01-02 6:00,4.7,286.9,2.4,0,,,61.7
980,강정,2021-01-02 7:00,4.9,298,2.3,0,,,59.3
980,강정,2021-01-02 8:00,4.7,281.5,1.8,0,,,63
980,강정,2021-01-02 9:00,5.3,288.2,1.4,0,,,59.1
980,강정,2021-01-02 10:00,6.2,287.4,2.5,0,,,57.6
980,강정,2021-01-02 11:00,6.2,289.7,2,0,,,61.9
980,강정,2021-01-02 12:00,7.3,304.9,3.3,0,,,57.2
980,강정,2021-01-02 13:00,8.3,332.8,3.7,0,,,54.3
980,강정,2021-01-02 14:00,8.3,292.4,5.9,0,,,51.2
980,강정,2021-01-02 15:00,8.1,298.5,5.9,0,,,45.9
980,강정,2021-01-02 16:00,6.7,301.4,5.5,0,,,52.3
980,강정,2021-01-02 17:00,8.3,184.7,1.9,0,,,53.5
980,강정,2021-01-02 18:00,4.4,70.9,1.7,0,,,74.6
980,강정,2021-01-02 19:00,4,36.2,1.3,0,,,74.5
980,강정,2021-01-02 20:00,2.4,16.9,2.1,0,,,81
980,강정,2021-01-02 21:00,2.9,29.1,2.3,0,,,80.2
980,강정,2021-01-02 22:00,1,24.1,1.8,0,,,91.2
980,강정,2021-01-02 23:00,1.2,23.3,1.5,0,,,89.9
980,강정,2021-01-03 0:00,0.9,6.2,1.7,0,,,89.3
980,강정,2021-01-03 1:00,2.3,343.6,1,0,,,82
980,강정,2021-01-03 2:00,2.2,8,1.8,0,,,83
980,강정,2021-01-03 3:00,2.1,12.6,2.2,0,,,83.7
980,강정,2021-01-03 4:00,1.8,17.1,1.9,0,,,86.5
980,강정,2021-01-03 5:00,1.8,7,2.2,0,,,84.9
980,강정,2021-01-03 6:00,1.6,23.7,2.3,0,,,87.8
980,강정,2021-01-03 7:00,1.6,30.7,1.8,0,,,87.9
980,강정,2021-01-03 8:00,2.3,16.3,2.3,0,,,85.1
980,강정,2021-01-03 9:00,4.7,60.2,0.8,0,,,74.3
980,강정,2021-01-03 10:00,7.8,235.3,2,0,,,63.6
980,강정,2021-01-03 11:00,7.3,193.9,2.5,0,,,65.8
980,강정,2021-01-03 12:00,8,194.3,2,0,,,54.1
980,강정,2021-01-03 13:00,8.1,187.2,2.2,0,,,57.3
980,강정,2021-01-03 14:00,8.2,177.9,2.7,0,,,57.6
980,강정,2021-01-03 15:00,8.1,164.6,1.8,0,,,58.6
980,강정,2021-01-03 16:00,7.8,138.4,2.2,0,,,61.2
980,강정,2021-01-03 17:00,7.5,125.9,1.4,0,,,61
980,강정,2021-01-03 18:00,6.5,268.1,0.8,0,,,68.1
980,강정,2021-01-03 19:00,4.2,40.5,1.6,0,,,78.9
980,강정,2021-01-03 20:00,4.4,26.7,1.8,0,,,75
980,강정,2021-01-03 21:00,4,24,2.1,0,,,78.5
980,강정,2021-01-03 22:00,4.4,19.7,1.9,0,,,75.2
980,강정,2021-01-03 23:00,4,18.7,1.8,0,,,77
980,강정,2021-01-04 0:00,4.4,2.5,1.9,0,,,75.7
980,강정,2021-01-04 1:00,4.6,355.5,2,0,,,73.3
980,강정,2021-01-04 2:00,4.9,2,2.4,0,,,65.8
980,강정,2021-01-04 3:00,5,343.7,1.4,0,,,65.2
980,강정,2021-01-04 4:00,4,332.3,1.6,0,,,57.7
980,강정,2021-01-04 5:00,3.7,356.2,2.4,0,,,57.6
980,강정,2021-01-04 6:00,3.8,359.5,2.6,0,,,65.7
980,강정,2021-01-04 7:00,3,4.1,2.4,0,,,74.4
980,강정,2021-01-04 8:00,2.2,21.9,2.1,0,,,78.8
980,강정,2021-01-04 9:00,6,42.9,0.7,0,,,68.4
980,강정,2021-01-04 10:00,8.5,132.9,1.1,0,,,53.9
980,강정,2021-01-04 11:00,9.1,241.8,3.8,0,,,52.4
