ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),Ç³Çâ(deg),Ç³¼Ó(m/s),°­¼ö·®(mm),ÇöÁö±â¾Ð(hPa),ÇØ¸é±â¾Ð(hPa),½Àµµ(%)
752,¼­±¤,2021-01-01 00:00,2.6,316.4,2.7,0,,,63.4
752,¼­±¤,2021-01-01 01:00,2.7,328.8,3.3,0,,,62.2
752,¼­±¤,2021-01-01 02:00,2.7,320.3,2.5,0,,,64.4
752,¼­±¤,2021-01-01 03:00,2.5,334,4.1,0,,,59.4
752,¼­±¤,2021-01-01 04:00,2.5,330.6,3.6,0,,,59.8
752,¼­±¤,2021-01-01 05:00,2.8,334.2,4.3,0,,,56.8
752,¼­±¤,2021-01-01 06:00,2.7,325.1,2.1,0,,,56.2
752,¼­±¤,2021-01-01 07:00,2.7,328.9,2.5,0,,,53.5
752,¼­±¤,2021-01-01 08:00,3,341.3,2.6,0,,,55.2
752,¼­±¤,2021-01-01 09:00,3.3,0,.3,0,,,55.1
752,¼­±¤,2021-01-01 10:00,3.7,340.8,1.4,0,,,56.5
752,¼­±¤,2021-01-01 11:00,4,0,.1,0,,,57.9
752,¼­±¤,2021-01-01 12:00,4.6,341.2,2.3,0,,,55.4
752,¼­±¤,2021-01-01 13:00,4.2,334.1,1.5,0,,,59.7
752,¼­±¤,2021-01-01 14:00,4.4,323.1,1.2,0,,,61.4
752,¼­±¤,2021-01-01 15:00,4.6,338,3.1,0,,,59.3
752,¼­±¤,2021-01-01 16:00,4.4,320.8,1.1,0,,,63.9
752,¼­±¤,2021-01-01 17:00,4.2,0,.3,0,,,61.3
752,¼­±¤,2021-01-01 18:00,4.3,348.6,1.3,0,,,62.6
752,¼­±¤,2021-01-01 19:00,4.3,329.8,.9,0,,,62.1
752,¼­±¤,2021-01-01 20:00,3.9,14.2,2,0,,,67
752,¼­±¤,2021-01-01 21:00,4.7,359.4,1.5,0,,,63.9
752,¼­±¤,2021-01-01 22:00,5,340,2,0,,,64.7
752,¼­±¤,2021-01-01 23:00,5,284.2,1.6,0,,,64.4
752,¼­±¤,2021-01-02 00:00,4.6,284.9,.9,0,,,60.1
752,¼­±¤,2021-01-02 01:00,4.5,0,.3,0,,,61.9
752,¼­±¤,2021-01-02 02:00,4.5,280.2,1.8,0,,,58.8
752,¼­±¤,2021-01-02 03:00,4.4,289.5,1.5,0,,,56
752,¼­±¤,2021-01-02 04:00,4.5,297.4,1.1,0,,,57.2
752,¼­±¤,2021-01-02 05:00,4.6,309,1.4,0,,,54.8
752,¼­±¤,2021-01-02 06:00,4.7,305.6,1,0,,,60.7
752,¼­±¤,2021-01-02 07:00,4.8,313.7,1.6,0,,,59.4
752,¼­±¤,2021-01-02 08:00,4.8,316.3,1,0,,,59.4
752,¼­±¤,2021-01-02 09:00,5.1,324.6,1,0,,,63.5
752,¼­±¤,2021-01-02 10:00,6.1,307.2,1.6,0,,,57.4
752,¼­±¤,2021-01-02 11:00,7.2,321.9,1.6,0,,,60.4
752,¼­±¤,2021-01-02 12:00,6.9,340.2,4.4,0,,,63.1
752,¼­±¤,2021-01-02 13:00,7.3,332.1,4.4,0,,,56.6
752,¼­±¤,2021-01-02 14:00,7,323.7,4.6,0,,,56.1
752,¼­±¤,2021-01-02 15:00,6.7,329.7,4.3,0,,,56.8
752,¼­±¤,2021-01-02 16:00,6,332.1,6.1,0,,,56.7
752,¼­±¤,2021-01-02 17:00,4.6,336.6,2.2,0,,,64.5
752,¼­±¤,2021-01-02 18:00,3.3,349.9,1.6,0,,,65.5
752,¼­±¤,2021-01-02 19:00,2.7,12.4,3.8,0,,,65.1
752,¼­±¤,2021-01-02 20:00,1.9,10.9,3.1,0,,,64.5
752,¼­±¤,2021-01-02 21:00,1.8,16.8,4.2,0,,,63.1
752,¼­±¤,2021-01-02 22:00,2,12,3.3,0,,,51
752,¼­±¤,2021-01-02 23:00,1.5,8.6,3.4,0,,,62.5
752,¼­±¤,2021-01-03 00:00,1.4,11.5,3.7,0,,,63.1
752,¼­±¤,2021-01-03 01:00,1.6,8.5,4.4,0,,,63.3
752,¼­±¤,2021-01-03 02:00,1.5,18.8,3.4,0,,,65.3
752,¼­±¤,2021-01-03 03:00,1.8,8.6,4.5,0,,,60
752,¼­±¤,2021-01-03 04:00,1.8,6.2,5.8,0,,,61.8
752,¼­±¤,2021-01-03 05:00,1.4,14.4,3.5,0,,,67.5
752,¼­±¤,2021-01-03 06:00,1.4,17.6,2.9,0,,,69.3
752,¼­±¤,2021-01-03 07:00,1.6,20.2,3,0,,,69.5
752,¼­±¤,2021-01-03 08:00,1.6,27.3,3.5,0,,,66.8
752,¼­±¤,2021-01-03 09:00,2.9,2.2,3.1,0,,,57.8
752,¼­±¤,2021-01-03 10:00,3.6,28.2,5.2,0,,,54.6
752,¼­±¤,2021-01-03 11:00,4.1,18.6,4.3,0,,,56.6
752,¼­±¤,2021-01-03 12:00,4.8,12.8,3.3,0,,,55.6
752,¼­±¤,2021-01-03 13:00,4.2,8.6,5.4,0,,,56
752,¼­±¤,2021-01-03 14:00,5,8.7,4.1,0,,,53.7
752,¼­±¤,2021-01-03 15:00,4,7.4,4.2,0,,,59.1
752,¼­±¤,2021-01-03 16:00,3.7,4.4,4.1,0,,,59.9
752,¼­±¤,2021-01-03 17:00,3.5,17.9,3,0,,,58.7
752,¼­±¤,2021-01-03 18:00,3.5,10.3,2.1,0,,,52.3
752,¼­±¤,2021-01-03 19:00,3.9,7.6,2.8,0,,,41.1
752,¼­±¤,2021-01-03 20:00,3.9,19.8,4.6,0,,,47.5
752,¼­±¤,2021-01-03 21:00,3.7,1,3,0,,,56.9
752,¼­±¤,2021-01-03 22:00,4.3,16,3.6,0,,,44.5
752,¼­±¤,2021-01-03 23:00,4.1,354.4,4.7,0,,,47.6
752,¼­±¤,2021-01-04 00:00,3.8,15.5,3.6,0,,,47.5
752,¼­±¤,2021-01-04 01:00,3.5,14.1,3.8,0,,,47.4
752,¼­±¤,2021-01-04 02:00,3.6,20.2,4,0,,,49.7
752,¼­±¤,2021-01-04 03:00,3.3,11,5.2,0,,,53.7
752,¼­±¤,2021-01-04 04:00,3.3,17.7,4.2,0,,,53
752,¼­±¤,2021-01-04 05:00,2.8,19,3.8,0,,,57
752,¼­±¤,2021-01-04 06:00,2.5,22.9,3.6,0,,,60
752,¼­±¤,2021-01-04 07:00,2.5,17.9,3.4,0,,,59.7
752,¼­±¤,2021-01-04 08:00,2.9,26.2,2.3,0,,,63.6
752,¼­±¤,2021-01-04 09:00,5.8,37.2,1.5,0,,,59.6
752,¼­±¤,2021-01-04 10:00,7.6,161.9,.9,0,,,55.6
752,¼­±¤,2021-01-04 11:00,7,7.1,2.7,0,,,53.7
752,¼­±¤,2021-01-04 12:00,7.7,2.8,3.7,0,,,49.8
752,¼­±¤,2021-01-04 13:00,8.2,14.2,2.3,0,,,51.8
752,¼­±¤,2021-01-04 14:00,8.8,1.7,4.2,0,,,49.3
752,¼­±¤,2021-01-04 15:00,8.3,27.9,2.6,0,,,52.3
752,¼­±¤,2021-01-04 16:00,8.6,0,.4,0,,,53.6
752,¼­±¤,2021-01-04 17:00,7.4,0,.3,0,,,59.2
752,¼­±¤,2021-01-04 18:00,6.8,18,2.3,0,,,55.5
752,¼­±¤,2021-01-04 19:00,6.7,9.2,1.7,0,,,51.9
752,¼­±¤,2021-01-04 20:00,6.2,23.1,1.3,0,,,53.1
