瘤痢,瘤痢疙,老矫,扁柯(∑C),浅氢(deg),浅加(m/s),碍荐樊(mm),泅瘤扁拘(hPa),秦搁扁拘(hPa),嚼档(%)
862,价寸,2021-01-01 00:00,2.5,307.6,4.2,0,1001.6,1026.1,66.9
862,价寸,2021-01-01 01:00,2.5,302.6,4.7,0,1001.7,1026.2,68.5
862,价寸,2021-01-01 02:00,2.4,304.3,4.3,0,1002.2,1026.8,68.3
862,价寸,2021-01-01 03:00,2.5,303.9,4.2,0,1002.5,1027.1,63.4
862,价寸,2021-01-01 04:00,2.1,312.3,2.7,0,1002.6,1027.2,84.5
862,价寸,2021-01-01 05:00,1.2,293.8,1.8,.5,1002.9,1027.6,96.3
862,价寸,2021-01-01 06:00,1.5,298,2.3,.5,1002.8,1027.5,96.2
862,价寸,2021-01-01 07:00,.5,0,.4,0,1003.1,1027.9,91.7
862,价寸,2021-01-01 08:00,1.9,291.6,1.8,0,1002.9,1027.5,77.1
862,价寸,2021-01-01 09:00,2.5,289.5,2,0,1003.4,1028,78.1
862,价寸,2021-01-01 10:00,3.1,281,2.2,0,1003.7,1028.2,72.5
862,价寸,2021-01-01 11:00,3.7,285.1,3.1,0,1003.6,1028.1,63.6
862,价寸,2021-01-01 12:00,3.8,290.5,1.7,0,1003.1,1027.5,67.6
862,价寸,2021-01-01 13:00,3.2,244.7,1.4,0,1002.1,1026.6,78.1
862,价寸,2021-01-01 14:00,4.2,255,1.4,0,1001.7,1026.1,73.3
862,价寸,2021-01-01 15:00,4.1,278.7,1.9,0,1001.2,1025.6,70.5
862,价寸,2021-01-01 16:00,4.4,269.1,1.7,0,1001.1,1025.4,71
862,价寸,2021-01-01 17:00,3.6,224.7,.8,0,1001.2,1025.6,59.5
862,价寸,2021-01-01 18:00,2.3,188.2,.9,0,1001.2,1025.7,84.7
862,价寸,2021-01-01 19:00,2.8,227.4,1.6,0,1001.7,1026.2,81.2
862,价寸,2021-01-01 20:00,2.7,189,1.7,0,1001.5,1026,83.7
862,价寸,2021-01-01 21:00,2.3,169.5,1.2,0,1001.5,1026.1,88.8
862,价寸,2021-01-01 22:00,3.2,188.8,1.5,0,1001.3,1025.8,79.1
862,价寸,2021-01-01 23:00,2.5,184.6,1.3,0,1001.2,1025.7,89.2
862,价寸,2021-01-02 00:00,2.4,207.6,1.4,0,1001.2,1025.7,88.6
862,价寸,2021-01-02 01:00,3.4,229.3,1.3,0,1001,1025.4,83.7
862,价寸,2021-01-02 02:00,4.4,229.3,2.8,0,1001.2,1025.5,71
862,价寸,2021-01-02 03:00,4.6,260.3,2.7,0,1001.1,1025.5,71.3
